LATITUD;LONGITUD;DIA_SEMANA;MES_LARGO;DESCRIPCION_CONDUCTA;;;
3.987.390.597;-7.376.418.947;7;8;2393;;;
3.988.036.892;-737.636.104;6;8;2395;;;
3.988.076.177;-7.376.866.818;1;4;2393;;;
3.988.121.586;-7.377.056.902;6;8;2392;;;
3.988.273.545;-7.377.421.386;5;6;2396;;;
3.988.547.103;-7.377.343.178;3;8;2395;;;
3.988.809.323;-7.377.601.207;2;8;2394;;;
398.903.392;-7.374.965.742;3;8;2395;;;
3.989.510.359;-7.376.983.762;2;8;2394;;;
3.990.464.652;-7.375.711.122;1;7;2395;;;
399.068.767;-7.376.366.854;5;8;2395;;;
399.076.259;-7.375.754.238;4;8;2395;;;
